,0
0,0.44804847
1,0.44390348
2,0.33945924
3,0.4983188
4,0.5379582
5,0.63489056
6,0.6572174
7,0.6863021
8,0.62440026
9,0.7038721
10,0.2728411
11,0.63489056
12,0.28506687
13,0.5067666
14,0.637414
15,0.5564931
16,0.64459944
17,0.37199306
18,0.45404005
19,0.6964238
20,0.662937
21,0.31667578
22,0.52548766
23,0.5077308
24,0.34435022
25,0.4731027
26,0.59261847
27,0.47939247
28,0.2728411
29,0.64033467
30,0.522289
31,0.37978238
32,0.5109638
33,0.4983188
34,0.032965183
35,0.35370445
36,0.5362118
37,0.23572499
38,0.681393
39,0.60276353
40,0.7038721
41,0.3988425
42,0.7343302
43,0.5767816
44,0.46623552
45,0.45447528
46,0.4171118
47,0.51728207
48,0.32785743
49,0.5005847
50,0.23534504
51,0.56804377
52,0.508406
53,0.35035846
54,0.7045053
55,0.20209774
56,0.493294
57,0.3178661
58,0.43578976
59,0.39266866
60,0.71287227
61,0.7095556
62,0.3526635
63,0.66901606
64,0.5109638
65,0.46203414
66,0.4983188
67,0.17611396
68,0.64033467
69,0.47514182
70,0.69479156
71,0.1542666
72,0.39793783
73,0.5795209
74,0.61388177
75,0.7045053
76,0.64033467
77,0.2728411
78,0.3118413
79,0.3868143
80,0.54021204
81,0.590069
82,0.62429076
83,0.56904244
84,0.5222891
85,0.6863021
86,0.3453247
87,0.57087606
88,0.52422
89,0.43561152
90,0.3682143
91,0.8125446
92,0.6008706
93,0.590069
94,0.4232552
95,0.6183419
96,0.46055067
97,0.7942482
98,0.55239165
99,0.55239165
100,0.6964238
101,0.37492257
102,0.41310242
103,0.5299
104,0.47939247
105,0.3829667
106,0.59432155
107,0.6198822
108,0.2870859
109,0.64459944
110,0.3988425
111,0.32103926
112,0.39609036
113,0.4418209
114,0.6980906
115,0.51728207
116,0.47241473
117,0.4171118
118,0.017268509
119,0.55239165
120,0.70768285
121,0.28549913
122,0.3118413
123,0.62440026
124,0.5758945
125,0.6502296
126,0.69809055
127,0.31325006
128,0.4171118
129,0.354622
130,0.029927343
131,0.38496205
132,0.56804377
133,0.5235948
134,0.7125663
135,0.47576112
136,0.4731027
137,0.33333498
138,0.55239165
139,0.599897
140,0.37143523
141,0.5694255
142,0.45429236
143,0.43889302
144,0.031641215
145,0.5109638
146,0.49199605
147,0.6628317
148,0.58274865
149,0.6502296
150,0.46165642
151,0.57373
152,0.41099402
153,0.6980906
154,0.28168744
155,0.51728207
156,0.590069
157,0.63607794
158,0.5767816
159,0.1542666
160,0.5437506
161,0.70768285
162,0.63607794
163,0.56006736
164,0.49084985
165,0.69479156
166,0.58394116
167,0.55239165
168,0.6658227
169,0.36706322
170,0.44390348
171,0.46055067
172,0.2728411
173,0.6112042
174,0.6737088
175,0.62429076
176,0.17891148
177,0.5767816
178,0.37960705
179,0.5169518
180,0.032965183
181,0.4731027
182,0.39588982
183,0.51728207
184,0.6127421
185,0.5437506
186,0.56902933
187,0.6008706
188,0.66345185
189,0.6418099
190,0.6244002
191,0.6008706
192,0.18174791
193,0.21147653
194,0.47060767
195,0.20209774
196,0.46623552
197,0.31793892
198,0.55239165
199,0.5795209
200,0.5120153
201,0.5645094
