,0
406,0.34631974
407,0.41099402
408,0.55098635
409,0.46381968
410,0.54517245
411,0.5767816
412,0.42843363
413,0.19239533
414,0.5044162
415,0.40992203
416,0.42325523
417,0.5346839
418,0.49985534
419,0.6222095
420,0.36607563
421,0.4166648
422,0.44390348
423,0.39793783
424,0.5678074
425,0.58887935
426,0.45782787
427,0.70130783
428,0.55943334
429,0.33794114
430,0.637038
431,0.7038721
432,0.45673445
433,0.30788428
434,0.4601413
435,0.54517245
436,0.52548766
437,0.6112042
438,0.46627906
439,0.4983188
440,0.6894543
441,0.7108402
442,0.35370445
443,0.023438692
444,0.6745777
445,0.65725756
446,0.16017655
447,0.38080758
448,0.72041136
449,0.19171706
450,0.5346839
451,0.6881317
452,0.63030714
453,0.42906457
454,0.6745777
455,0.6848556
456,0.71287227
457,0.4593259
458,0.41310242
459,0.5346839
460,0.2728411
461,0.3623658
462,0.47939247
463,0.31793892
464,0.32574332
465,0.4528108
466,0.6127421
467,0.4983188
468,0.6572174
469,0.3647707
470,0.5767816
471,0.637414
472,0.63607794
473,0.5346839
474,0.6752066
475,0.5758945
476,0.65304506
477,0.56904244
478,0.63030714
479,0.6148397
480,0.79709196
481,0.5235948
482,0.35738307
483,0.5362118
484,0.38970143
485,0.6676877
486,0.4983188
487,0.3991696
488,0.3515982
489,0.40770534
490,0.6112042
491,0.30443108
492,0.599897
493,0.67799485
494,0.70768285
495,0.33945924
496,0.64459944
497,0.33609486
498,0.5169518
499,0.58887935
500,0.49985534
501,0.5437506
502,0.46627906
503,0.44390348
504,0.6112042
505,0.5343683
506,0.40506542
507,0.63489056
508,0.5539665
509,0.5767816
510,0.3632629
511,0.3455577
512,0.6914715
513,0.49199605
514,0.35370445
515,0.5044162
516,0.44481057
517,0.5044162
518,0.5645094
519,0.9066769
520,0.4351676
521,0.35616222
522,0.38970143
523,0.45673445
524,0.26019657
525,0.42924133
526,0.55239165
527,0.64414454
528,0.47939247
529,0.63030714
530,0.024293453
531,0.5235948
532,0.6111877
533,0.63607794
534,0.4983188
535,0.51397085
536,0.33949178
537,0.5437506
538,0.67114186
539,0.679901
540,0.22410199
541,0.3458271
542,0.3632629
543,0.62429076
544,0.7095556
545,0.35370445
546,0.45429236
547,0.6980906
548,0.59432155
549,0.55239165
550,0.4593259
551,0.4199717
552,0.32927942
553,0.22788659
554,0.4168043
555,0.67114186
556,0.28549913
557,0.4847093
558,0.3632629
559,0.58887935
